PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
46,21,22,E,B,24,26,53,D,14,C,D
27,88,33,D,A,13,80,6,C,79,C,B
70,17,25,D,E,74,94,90,D,99,C,C
60,57,34,B,E,94,17,94,E,10,A,A
48,62,15,B,A,80,36,84,C,43,E,D
95,9,81,C,D,66,52,13,D,76,C,A
90,80,64,C,B,16,73,20,A,62,E,B
58,70,8,E,B,85,6,50,C,81,D,E
68,14,34,C,A,63,22,87,A,32,B,D
7,36,3,B,A,80,99,46,D,78,B,C
76,18,85,B,A,95,90,65,E,43,C,D
60,41,28,E,E,98,76,83,B,1,C,A
83,1,48,E,E,75,41,90,A,3,E,E
3,89,18,B,C,51,27,91,B,51,D,B
30,34,67,C,B,36,95,83,E,6,B,E
64,36,3,B,C,57,36,24,C,47,E,D
85,82,8,D,A,63,56,54,C,27,A,D
99,97,14,A,C,79,76,23,B,44,D,C
83,2,51,A,D,96,88,58,C,87,E,D
60,21,13,A,B,16,77,26,D,69,A,A
64,59,2,B,B,88,42,99,C,79,E,B
69,8,36,C,C,30,13,54,C,80,A,D
35,17,99,B,C,92,65,19,B,92,A,E
11,55,96,A,A,82,29,51,B,25,C,D
40,67,32,B,E,28,29,90,D,1,D,E
91,99,35,A,B,32,59,43,A,25,B,C
59,24,15,B,E,97,23,84,B,30,A,A
45,98,8,C,B,15,78,32,C,20,B,C
25,13,60,E,C,8,57,91,E,90,D,B
94,86,29,B,E,22,16,43,A,68,D,D
98,83,84,C,D,96,96,90,E,99,C,C
37,26,73,C,A,25,98,32,E,77,C,D
80,80,84,C,D,51,96,97,E,88,E,B
99,8,34,E,A,96,26,14,B,6,E,D
39,51,72,E,D,58,42,60,E,69,A,A
51,59,78,E,D,50,79,46,A,24,E,D
83,36,52,E,E,74,44,85,D,50,C,E
4,1,0,E,D,68,63,18,E,12,B,B
47,68,42,A,B,67,74,10,B,19,E,A
81,27,10,B,D,51,44,51,B,37,B,E
97,6,24,B,B,5,39,33,C,69,A,A
87,72,57,B,A,28,69,2,B,60,D,E
75,43,88,C,E,75,63,67,C,86,E,E
91,93,17,E,C,18,63,79,B,5,D,B
71,36,73,C,B,23,48,26,A,53,E,A
64,38,12,B,A,79,66,73,E,91,E,C
86,7,49,E,E,14,31,20,D,41,C,C
14,35,27,B,C,31,34,55,A,65,B,A
85,48,49,A,C,28,82,40,C,4,D,D
81,53,12,A,D,48,28,13,C,39,E,C
68,47,30,A,B,43,92,14,C,42,B,E
57,1,49,E,B,82,51,79,A,31,C,A
23,86,84,A,B,83,59,62,B,96,C,C
82,10,16,A,E,54,20,55,D,5,C,B
89,88,93,D,B,64,69,68,B,49,B,B
62,1,85,E,B,7,50,38,B,51,D,E
35,38,94,A,C,89,6,75,C,51,E,E
66,87,37,C,B,45,93,46,C,72,B,E
88,26,5,D,C,60,38,59,A,79,E,A
7,92,74,C,C,28,66,60,D,45,A,B
98,52,30,E,B,32,89,18,E,57,C,C
87,34,62,B,C,56,13,9,B,64,A,C
57,5,13,C,E,21,10,40,A,37,C,D
51,77,48,B,B,74,26,64,A,29,A,D
34,81,66,A,B,34,20,30,E,1,B,E
92,77,75,B,C,14,33,25,C,56,E,D
54,29,98,B,B,33,79,81,B,99,D,C
71,69,50,C,E,39,38,0,B,98,A,C
50,41,68,E,D,97,84,63,D,60,E,D
48,77,8,D,B,38,17,37,E,21,B,A
67,58,43,A,B,5,92,71,D,30,E,A
72,67,14,E,B,58,47,52,D,6,A,B
23,57,64,A,B,94,80,53,E,57,A,A
37,33,54,B,B,7,52,29,A,45,C,E
14,58,8,E,E,4,12,35,A,20,E,E
33,20,2,A,A,33,26,75,C,86,E,A
53,68,89,D,A,8,77,18,C,79,A,E
19,93,33,B,A,87,28,31,A,55,E,B
49,57,97,A,B,22,35,8,B,49,E,A
74,15,61,E,E,53,61,53,B,96,E,B
41,25,32,D,A,47,31,30,A,26,C,C
94,82,45,A,A,58,52,3,E,95,B,A
49,77,28,E,A,54,39,43,B,25,B,D
70,78,92,C,E,49,89,1,A,75,A,D
48,51,39,B,C,87,82,26,D,85,B,D
46,67,94,B,C,71,55,4,D,74,C,A
8,4,40,A,C,82,43,24,E,97,A,D
64,91,78,E,B,91,57,38,B,61,C,A
61,70,79,A,C,60,91,87,D,48,A,B
10,25,40,B,E,71,39,91,C,86,E,E
36,83,34,A,A,85,43,56,D,39,E,A
29,92,25,D,A,27,15,11,C,8,B,C
50,10,78,B,D,26,75,52,A,90,E,B
65,24,87,A,B,15,10,95,C,51,B,B
21,9,58,A,E,80,26,25,E,6,C,E
83,93,8,E,E,90,26,75,C,52,B,B
42,52,78,B,E,68,62,68,D,95,D,C
5,21,4,B,E,50,26,25,D,80,A,B
95,75,95,B,E,87,61,95,B,19,C,E
70,7,97,C,D,74,95,74,E,27,C,B
33,95,4,B,B,18,2,61,C,13,E,E
14,11,76,A,A,72,74,7,B,6,A,A
47,33,74,E,A,95,56,13,C,93,D,C
7,7,47,D,E,52,8,2,E,2,E,C
62,58,50,D,D,17,71,83,D,29,D,D
12,24,64,A,B,57,91,27,D,69,A,B
14,63,82,D,B,56,41,76,A,54,E,A
29,47,32,A,C,39,71,87,A,62,D,C
31,44,51,C,A,35,20,82,C,8,A,D
12,37,35,E,B,68,89,56,B,89,E,B
26,13,14,B,D,61,52,48,D,37,A,A
90,50,6,C,B,9,84,60,B,94,E,E
77,48,52,B,C,31,64,28,D,63,C,C
7,62,18,C,B,60,24,71,C,2,D,D
53,64,29,B,B,82,49,38,E,31,D,E
2,80,53,B,A,75,37,90,B,24,A,B
20,55,44,B,E,56,10,39,D,22,B,C
45,35,70,D,A,2,29,31,E,83,D,B
66,19,57,B,D,7,57,18,A,22,D,C
61,15,57,B,A,22,74,8,E,99,B,E
97,66,56,D,C,34,69,5,A,55,C,E
42,46,46,C,A,96,41,78,B,32,E,D
72,22,5,C,C,4,85,30,D,20,B,E
67,49,88,E,C,77,92,57,C,16,A,A
97,89,56,C,C,45,11,30,D,15,C,A
28,0,33,C,B,58,33,35,A,53,A,C
82,66,21,E,C,13,88,53,E,15,A,A
15,22,56,A,C,63,98,15,C,86,B,D
1,24,32,A,D,18,31,7,D,64,C,C
95,59,6,B,C,1,19,95,A,60,B,B
24,29,38,A,D,12,40,4,D,44,C,A
33,81,11,C,A,3,71,20,B,9,A,A
55,26,51,C,C,3,8,0,E,92,A,B
25,71,12,C,E,76,47,57,D,13,E,E
57,89,37,C,D,35,33,81,B,51,E,E
3,79,90,A,B,87,86,17,A,67,A,E
75,7,65,A,C,41,67,73,A,94,B,E
36,47,42,E,A,80,89,76,E,24,B,E
31,20,98,A,D,21,60,32,D,50,E,E
18,55,4,E,E,42,59,63,B,87,B,C
26,32,92,C,C,93,45,82,C,39,E,B
92,49,73,A,A,68,14,34,A,61,A,C
1,89,4,C,D,15,9,16,A,23,D,B
35,4,20,E,E,51,37,70,D,80,B,E
9,24,49,D,E,47,25,49,D,31,E,C
47,70,12,C,D,55,11,1,A,88,C,E
28,61,60,C,C,98,94,95,C,39,E,C
66,14,76,C,E,43,96,31,C,57,B,C
17,55,35,D,D,36,2,90,E,56,A,E
63,53,42,E,D,38,15,14,C,75,E,C
9,95,67,D,A,56,35,52,A,8,A,C
75,69,29,B,E,55,14,11,E,46,E,E
18,18,20,D,E,31,89,6,E,1,E,D
42,8,41,E,A,24,6,14,D,45,A,E
74,53,75,B,D,36,52,3,C,0,C,D
12,60,34,D,D,32,59,20,B,50,A,E
89,89,16,E,A,48,24,62,B,9,E,D
59,88,43,E,A,55,72,86,E,33,C,A
32,12,70,B,C,42,44,22,D,61,A,E
27,23,72,A,C,8,55,90,C,19,E,D
38,40,98,A,B,51,59,52,B,4,A,C
53,11,86,E,C,57,6,13,C,65,B,E
65,83,78,D,E,92,23,6,D,29,E,C
85,59,6,B,C,15,70,81,C,79,E,B
35,88,68,E,E,65,51,9,D,24,E,A
22,23,36,A,B,10,30,53,E,83,B,A
90,72,86,C,E,43,45,83,D,38,E,B
16,11,4,B,B,68,78,69,A,57,B,D
90,20,9,C,D,2,36,93,D,92,C,C
50,24,33,C,D,51,21,72,B,8,E,C
68,27,90,D,E,82,51,58,A,62,D,D
65,99,35,C,B,95,83,97,C,46,D,C
72,96,99,C,B,99,88,15,D,96,B,B
12,64,44,A,B,81,6,10,D,82,D,C
70,15,32,D,A,21,78,38,E,61,D,C
66,77,90,A,E,73,57,9,E,17,E,E
17,86,93,A,B,38,75,16,B,27,E,B
32,93,7,A,B,99,42,42,C,45,C,E
84,4,54,E,A,74,86,37,B,22,E,D
13,21,9,B,E,69,30,45,B,21,C,B
42,7,10,E,B,16,36,81,A,78,E,D
91,43,42,D,A,79,90,94,B,27,E,D
63,6,35,E,A,9,59,61,B,42,D,A
35,34,5,D,B,62,44,33,C,89,A,E
70,37,25,D,A,45,61,7,E,14,C,D
75,82,58,B,B,4,22,39,E,94,B,C
1,95,80,D,C,28,16,99,C,96,E,D
5,80,21,C,A,6,59,6,B,60,C,C
42,7,94,E,B,20,74,20,C,74,A,A
55,11,66,B,E,67,23,86,C,63,C,A
33,0,23,C,B,3,61,16,C,4,C,C
82,39,35,D,E,20,9,74,E,91,D,B
33,50,89,B,D,29,55,25,A,63,E,C
14,39,62,D,E,8,6,91,B,36,B,C
83,29,43,E,E,20,78,5,D,2,D,C
94,70,25,D,C,51,40,66,A,99,E,B
92,20,14,D,E,42,82,81,E,11,A,E
7,71,20,A,D,94,91,80,D,31,D,E
3,60,24,B,E,77,80,84,B,93,A,E
86,22,74,A,B,54,6,84,D,92,B,D
32,33,68,D,E,75,63,64,B,6,B,A
71,56,56,C,C,46,40,18,B,78,C,E
54,80,19,B,E,42,96,17,A,26,E,A
97,84,59,E,C,16,2,58,D,5,C,A
37,0,95,B,E,76,98,8,B,39,E,D
58,67,80,D,E,23,78,88,B,76,A,E
8,38,92,D,A,18,1,17,E,51,A,A
1,62,91,B,D,53,64,64,B,82,C,C
64,13,77,E,C,89,65,19,A,83,B,C
16,97,98,E,D,90,19,44,C,20,D,C
4,83,75,B,B,86,85,34,C,16,E,E
32,57,41,B,D,31,27,88,C,51,E,A
42,75,42,E,E,92,54,95,A,83,A,A
19,4,33,B,B,91,70,80,D,2,C,E
99,43,35,C,D,24,74,42,B,93,D,C
88,28,9,C,A,93,40,65,C,66,B,E
23,86,11,D,B,21,31,36,E,68,B,E
70,92,71,E,E,38,38,63,C,96,C,A
84,51,43,D,C,20,11,92,A,92,E,C
26,97,48,B,E,72,18,6,C,18,C,C
29,64,29,C,C,58,96,10,E,57,B,A
88,55,2,E,A,75,19,57,B,62,E,E
0,62,5,A,D,35,74,61,C,14,C,A
36,55,37,A,B,45,58,5,D,36,C,B
59,44,88,E,B,74,98,54,D,11,C,A
26,98,76,B,D,42,52,55,B,55,B,C
23,24,28,D,E,84,92,76,E,0,C,D
56,46,69,A,E,15,57,45,E,57,D,D
64,85,28,E,D,72,92,21,B,24,E,E
64,69,47,C,B,27,74,90,C,61,C,B
59,44,0,D,A,32,55,9,B,8,E,E
7,15,90,B,A,67,63,44,A,66,D,D
37,76,21,A,B,21,73,25,A,86,D,A
34,33,30,C,A,30,98,62,C,88,A,A
37,89,58,E,B,59,75,72,D,94,D,B
76,24,84,A,A,14,78,12,B,61,B,D
0,67,41,A,C,73,37,22,D,79,C,A
14,64,56,A,C,74,32,66,C,53,E,B
9,8,52,D,A,4,67,45,E,72,B,C
50,36,16,D,A,29,55,49,B,93,B,B
35,58,76,C,B,22,20,12,B,97,A,A
34,98,90,B,D,86,48,86,E,63,C,E
21,55,17,A,E,72,99,79,E,43,B,A
10,79,29,A,A,99,78,16,E,66,B,A
27,98,43,B,D,33,47,42,D,32,E,E
66,1,13,D,C,0,91,92,D,23,C,E
2,15,5,D,D,79,4,37,E,27,E,B
26,21,8,E,D,74,45,5,E,77,B,E
39,37,16,E,A,26,93,50,A,96,C,A
58,29,60,A,A,97,93,47,B,50,B,E
70,62,50,D,B,76,2,20,D,39,A,D
69,80,54,A,C,39,33,73,A,71,B,C
56,8,30,C,E,72,93,98,B,45,A,C
29,88,48,C,D,20,19,75,C,20,E,A
68,48,73,D,A,14,54,80,D,17,A,E
11,38,9,E,C,21,16,83,B,30,E,C
30,0,63,A,A,73,93,66,B,77,C,D
31,16,17,A,A,91,64,86,A,63,E,E
15,25,99,E,C,28,83,61,D,50,D,E
90,26,8,E,B,65,1,10,B,65,C,D
37,63,50,B,A,51,18,45,E,84,A,D
91,20,3,E,D,71,42,88,E,64,D,B
99,95,99,A,B,10,65,85,B,2,E,D
55,98,91,D,C,98,5,25,A,98,C,E
35,51,95,E,B,82,64,22,C,83,B,B
95,52,8,C,D,71,29,19,A,54,C,D
99,72,16,C,C,39,77,55,E,48,C,D
5,41,88,E,D,56,66,9,A,98,D,D
27,74,27,A,B,79,19,64,B,16,C,E
84,18,13,D,C,70,70,57,A,84,B,D
58,91,9,A,C,51,33,41,C,21,B,C
69,23,54,C,D,55,3,60,D,41,D,D
53,48,34,D,D,20,58,23,E,92,A,E
39,7,56,C,D,4,18,63,B,14,D,B
49,44,73,C,C,16,37,64,A,29,A,D
23,5,5,B,B,3,84,89,C,72,E,C
15,19,51,E,C,84,0,73,A,80,C,B
5,63,65,E,C,82,18,81,C,7,E,D
83,15,49,A,D,77,7,80,B,96,E,B
99,94,12,E,E,44,54,60,D,51,D,B
95,63,85,E,A,28,31,83,D,19,E,E
67,14,70,D,E,71,11,82,D,9,B,D
98,91,56,C,A,16,33,0,D,78,E,E
99,95,44,C,A,41,54,21,E,33,B,E
87,57,30,C,A,71,14,77,D,84,E,C
26,82,68,B,B,34,0,32,A,41,D,B
81,89,24,D,C,8,96,37,E,23,D,C
38,8,5,B,E,70,20,51,C,6,E,B
79,54,33,B,B,82,61,37,D,58,E,C
51,30,82,E,C,12,58,16,B,2,B,D
10,21,74,C,D,79,66,32,A,38,A,E
54,53,32,A,C,80,73,22,A,27,D,B
85,55,95,E,B,28,62,86,D,98,C,A
33,11,17,E,D,78,31,75,D,46,D,C
62,52,99,E,A,39,7,49,B,50,E,B
46,95,5,C,C,46,21,12,D,16,E,E
49,1,68,A,B,50,7,66,D,50,E,C
59,51,66,E,D,50,4,69,B,19,E,A
91,7,35,B,E,42,96,68,C,46,A,E
92,32,13,D,B,48,73,21,C,75,C,C
89,15,51,E,A,26,1,75,B,24,A,C
16,28,14,A,E,28,71,23,D,20,B,E
6,5,52,C,A,40,21,36,D,23,E,A
18,13,53,C,B,93,88,10,E,3,A,E
45,13,61,B,C,74,87,51,E,6,A,A
41,93,4,D,A,44,66,47,A,83,B,C
69,61,3,D,B,97,27,99,E,38,B,D
42,4,62,E,A,78,17,16,B,32,A,B
84,54,6,B,E,89,32,37,A,88,D,D
3,5,1,B,E,34,15,49,A,76,A,C
64,96,40,D,B,56,55,15,E,65,B,A
75,65,55,A,A,53,4,76,B,91,E,A
35,38,9,D,D,20,26,3,D,46,C,A
